# distance (nm)	f (kT)	df (kT)
  0.0133	  1.7680	  0.0458
  0.0400	  0.1423	  0.0429
  0.0667	  0.6220	  0.0440
  0.0933	  2.3801	  0.0587
  0.1200	  3.4898	  0.0937
  0.1467	  4.2639	  0.1355
  0.1733	  4.6003	  0.1686
  0.2000	  3.9355	  0.1528
  0.2267	  3.4084	  0.1399
  0.2533	  2.3770	  0.1050
  0.2800	  1.6617	  0.0844
  0.3067	  0.8253	  0.0650
  0.3333	  0.2805	  0.0563
  0.3600	  0.0000	  0.0000
  0.3867	  0.0874	  0.0533
  0.4133	  0.1989	  0.0544
  0.4400	  0.4849	  0.0578
  0.4667	  0.8722	  0.0632
  0.4933	  1.1774	  0.0666
  0.5200	  1.4434	  0.0687
  0.5467	  1.5050	  0.0640
  0.5733	  0.7059	  0.0498
  0.6000	  0.3802	  0.0458
  0.6267	  0.5926	  0.0456
  0.6533	  1.1644	  0.0471
  0.6800	  1.8681	  0.0493
  0.7067	  2.6893	  0.0526
  0.7333	  3.4791	  0.0565
  0.7600	  4.6153	  0.0664
  0.7867	  5.0727	  0.0609
