# tau(ns)	round	implied_timescale(ns)
 0.100	0	 3.290
 0.100	0	 0.103
 0.100	0	 0.042
 0.100	0	 0.032
 1.000	0	 3.676
 1.000	0	 0.892
 1.000	0	   nan
 1.000	0	 0.254
10.000	0	 9.323
10.000	0	 3.750
10.000	0	 1.519
10.000	0	 2.220
15.000	0	13.930
15.000	0	 3.725
15.000	0	 2.270
15.000	0	 3.310
20.000	0	18.530
20.000	0	 3.033
20.000	0	 4.460
20.000	0	 2.986
30.000	0	27.872
30.000	0	   nan
30.000	0	   nan
30.000	0	 6.594
40.000	0	37.172
40.000	0	 6.026
40.000	0	 8.995
40.000	0	 5.940
50.000	0	46.591
50.000	0	 7.586
50.000	0	11.267
50.000	0	 7.436
60.000	0	55.768
60.000	0	   nan
60.000	0	   nan
60.000	0	13.657
100.000	0	93.126
100.000	0	23.509
100.000	0	15.107
100.000	0	22.311
150.000	0	140.236
150.000	0	23.418
150.000	0	22.700
150.000	0	33.031
200.000	0	187.559
200.000	0	30.149
200.000	0	29.948
200.000	0	29.594
250.000	0	235.316
250.000	0	56.466
250.000	0	   nan
250.000	0	55.464
300.000	0	282.894
300.000	0	45.261
300.000	0	66.381
300.000	0	45.017
 0.100	1	 3.315
 0.100	1	 0.103
 0.100	1	 0.041
 0.100	1	 0.030
 1.000	1	 3.707
 1.000	1	 0.885
 1.000	1	   nan
 1.000	1	 0.255
10.000	1	 9.233
10.000	1	 3.495
10.000	1	 2.235
10.000	1	   nan
15.000	1	13.807
15.000	1	 3.558
15.000	1	   nan
15.000	1	 3.262
20.000	1	18.377
20.000	1	 4.691
20.000	1	   nan
20.000	1	 4.379
30.000	1	27.565
30.000	1	 6.664
30.000	1	 4.521
30.000	1	 6.539
40.000	1	36.882
40.000	1	   nan
40.000	1	   nan
40.000	1	 8.861
50.000	1	46.147
50.000	1	   nan
50.000	1	11.030
50.000	1	10.972
60.000	1	55.190
60.000	1	   nan
60.000	1	13.411
60.000	1	   nan
100.000	1	92.305
100.000	1	   nan
100.000	1	22.197
100.000	1	21.659
150.000	1	138.996
150.000	1	   nan
150.000	1	   nan
150.000	1	32.920
200.000	1	185.715
200.000	1	46.275
200.000	1	30.136
200.000	1	29.788
250.000	1	233.585
250.000	1	   nan
250.000	1	55.604
250.000	1	   nan
300.000	1	280.707
300.000	1	   nan
300.000	1	65.402
300.000	1	63.858
